sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22
ASV_1	38949	72813	40	11168	35600	23620	12152	173	0	81	23230	12721	0	0	77	1587	786	10036	11347	2568	360	948
ASV_2	267	6579	0	4686	419	22925	5971	130	10485	701	3908	6537	18002	4642	0	7212	9392	1236	93768	0	21726	5269
ASV_3	8789	8009	885	74	3483	717	10883	3020	719	483	1062	3528	455	1273	19326	403	1779	365	3105	9441	288	2269
ASV_4	1551	1298	137	25	1342	267	2252	668	58	0	205	585	34	769	3520	25	910	43	464	2176	85	356
ASV_5	19694	7467	1048	202	11748	2618	16440	4718	599	476	1537	4094	458	2402	24566	309	6177	339	3271	13996	677	3949
ASV_6	789	824	60	2149	288	26	1212	420	36	177	79	248	65	370	641	57	405	64	354	962	25	698
ASV_7	12114	4614	647	157	6568	1173	15227	3936	272	352	1088	1907	236	4002	23973	257	4312	218	2010	14388	326	2762
ASV_8	1809	1574	148	306	985	190	5039	1511	138	1395	170	1036	137	1371	2163	209	1779	144	828	1904	160	2178
ASV_9	610	1733	325	10	606	235	2068	340	130	100	81	1029	110	288	7670	93	364	93	463	2427	33	497
ASV_10	340	40	0	1242	187	37	291	359	18	87	18	195	7	654	483	25	502	20	138	211	14	285
ASV_11	1372	1175	103	174	1364	152	4436	1550	160	152	138	571	503	1632	2214	137	1016	195	889	1313	165	1201
ASV_12	1673	968	97	21	817	165	2572	826	116	83	225	316	97	283	2903	29	426	28	338	2486	37	394
ASV_13	402	165	33	1003	133	66	999	78	334	173	51	180	34	189	545	77	334	0	63	151	40	348
ASV_14	1355	575	79	65	945	202	1284	520	43	0	147	239	0	635	2718	25	290	49	218	1314	93	364
ASV_15	0	0	0	259	0	14940	1499	0	10	0	1773	763	0	0	0	28	0	581	11261	0	11857	383
ASV_16	697	1086	928	404	1345	760	1594	611	908	233	90	372	262	206	20496	114	1485	139	135	13406	296	508
ASV_17	706	27	64	369	69	58	1569	187	0	123	55	77	0	303	708	0	340	38	58	281	32	130
ASV_18	60	26	0	0	213	44	307	49	0	0	25	30	0	34	582	0	93	0	0	300	33	171
ASV_19	520	372	797	133	407	112	1974	533	312	198	81	422	145	333	472	95	258	86	566	461	88	467
ASV_20	63	0	45	1650	195	232	114	0	1952	115	90	16	1074	567	0	1781	241	74	75	0	120	0
ASV_21	497	915	134	59	344	91	1555	461	120	141	64	207	100	636	860	85	360	112	283	743	100	859
ASV_22	218	58	0	5266	58	947	144	56	10257	1627	260	64	19636	175	117	2011	0	124	32	53	10826	93
ASV_23	152	611	58	744	50	68	614	252	417	92	125	226	720	118	0	1216	5780	240	421	40	1182	2629
ASV_24	559	813	72	20	550	130	1587	438	15	18	92	227	33	230	2514	38	466	0	265	1734	22	309
ASV_25	0	300	98	78	851	232	68	215	1308	680	0	214	270	13847	34	492	50	145	84	0	130	1175
ASV_26	0	0	0	412	178	197	0	0	468	1062	0	0	180	80	0	59	141	0	0	0	1779	243
ASV_27	83	142	12	36	114	296	380	116	1484	715	54	49	66	21832	282	191	0	28	72	168	178	159
ASV_28	724	840	48	19	430	27	1095	325	41	69	55	425	49	610	677	41	236	70	232	558	30	913
ASV_29	627	640	30	17	207	47	1339	491	39	173	37	351	19	320	676	40	430	53	299	243	40	342
ASV_30	420	412	36	0	325	62	620	222	16	713	23	162	40	454	481	28	148	63	69	507	24	350
ASV_31	0	270	3	0	41	0	67	28	6	54	18	23	0	67	106	0	31	0	4	77	18	73
ASV_32	892	1684	315	66	274	333	1820	211	162	166	117	301	114	146	7617	124	582	51	605	4948	42	295
ASV_33	133	0	58	0	1880	9	300	327	0	0	0	976	11	50	0	11	22	13	469	100	0	390
ASV_34	615	396	61	0	202	48	579	224	53	19	24	175	41	113	321	41	83	15	67	349	40	277
ASV_35	0	0	7	459	0	18	0	0	192	36	34	0	1928	879	0	12633	6619	75	719	23	2133	0
ASV_36	552	239	25	0	194	65	410	166	0	54	65	207	14	81	958	21	103	0	63	571	44	34
ASV_37	0	0	0	1409	120	40	0	0	359	0	10	29	198	644	0	91	152	0	0	0	121	136
ASV_38	256	0	26	634	0	75	26	0	1017	115	59	0	2792	764	0	3568	7706	16	157	0	784	0
ASV_39	19917	0	4	0	0	0	0	0	0	6	0	0	0	0	71	0	0	0	0	30	0	0
ASV_40	203	0	0	154	0	0	84	0	0	71	0	0	0	0	0	0	0	0	24	54	0	0
ASV_41	48	228	33	2137	4603	157	0	0	935	145	17	218	409	2105	0	280	96	44	36	0	58	543
ASV_42	0	21	82	141	804	0	0	63	46	751	13	286	24	368	0	0	33	0	263	37	0	84
ASV_43	0	0	22	135	33	90	0	0	97	13	29	14	312	375	0	105	176	44	0	0	68	0
ASV_44	72	194	127	0	58	10	266	170	38	9	7	153	14	84	161	33	50	40	89	254	28	127
ASV_45	29	34	0	0	0	10	47	24	15	0	0	10	31	34	44	0	0	0	0	50	23	42
ASV_46	0	0	0	446	0	546	0	0	4993	0	186	0	933	319	0	681	63	21	0	0	4483	0
ASV_47	192	0	15	0	112	0	0	0	20	464	0	0	0	0	0	0	0	0	0	64	18	0
ASV_48	0	0	116	379	435	315	0	0	1521	770	157	179	162	141	0	284	576	62	137	37	667	0
ASV_49	594	0	14	0	225	0	0	27	18	614	0	0	0	25	0	0	0	0	22	58	0	41
ASV_50	69	0	0	1458	0	371	0	0	680	0	98	0	3707	993	0	333	2380	153	0	0	757	0
ASV_51	43	0	0	0	0	0	0	0	0	339	0	0	0	23	0	3	0	0	0	0	6	0
ASV_52	30	164	13	136	8094	0	3	0	0	489	0	141	72	104	0	0	0	10	27	0	0	157
ASV_53	0	0	9	4	0	0	0	0	3	0	0	0	10507	2693	0	185	155	0	0	0	29	0
ASV_54	0	0	49	48	0	11	0	0	28	0	0	0	265	8	0	150	12065	0	92	0	74	0
ASV_55	0	54	20	1785	0	165	0	32	833	0	94	24	2291	0	0	413	0	152	0	0	840	0
ASV_56	0	277	0	0	0	0	450	0	0	238	7	0	47	52	114	11	75	0	61	70	11	41
ASV_57	113	303	19	0	61	31	130	53	30	57	6	98	6	86	78	15	380	23	126	313	8	326
ASV_58	0	0	0	56	0	120	0	0	96	0	104	0	136	0	0	383	0	0	0	0	12960	0
ASV_59	109	0	8	4198	0	1831	0	0	499	0	32	0	238	0	57	177	40	34	16	40	3136	0
ASV_60	32	0	6	233	1260	71	272	530	129	312	0	464	365	106	0	77	97	0	812	351	34	28
ASV_61	190	196	0	18	54	0	261	70	0	0	28	0	0	91	350	0	115	0	0	239	31	188
ASV_62	168	151	18	0	22	35	341	38	19	229	0	77	8	0	0	12	257	0	112	133	0	42
ASV_63	85	0	18	47	47	117	0	37	183	314	34	28	836	1425	51	72	296	21	406	4	216	0
ASV_64	0	0	0	2481	0	287	0	0	4144	0	134	0	2016	0	0	866	0	1861	0	0	371	0
ASV_65	197	96	18	32	90	23	113	134	19	88	20	89	87	174	188	20	79	27	48	259	16	149
ASV_66	36	264	11	2691	2880	0	0	0	0	509	48	186	0	0	0	0	0	0	276	173	684	186
ASV_67	0	0	8	0	106	0	0	0	0	0	0	10843	0	20	0	0	0	0	0	0	0	0
ASV_68	0	0	8	955	12	200	0	15	260	63	121	17	2102	349	0	305	1844	60	12	0	470	59
ASV_69	0	0	15	1165	0	122	0	0	526	0	31	0	5001	1875	0	607	112	37	32	0	239	0
ASV_70	123	0	42	0	606	0	0	20	0	1391	0	153	0	140	0	0	0	0	208	239	0	0
ASV_71	99	0	35	2108	46	298	0	32	328	35	37	0	754	348	0	202	1417	259	0	0	320	31
ASV_72	146	128	27	5	240	0	216	73	13	20	0	118	8	155	66	18	84	14	0	69	7	746
ASV_73	38	27	22	0	86	16	406	66	19	0	10	11	11	66	27	0	7	11	66	129	0	133
ASV_74	0	0	0	5166	0	13	0	0	207	0	74	0	1784	0	0	2005	321	58	0	0	559	0
ASV_75	258	40	8	0	244	42	148	160	0	19	23	34	0	123	498	14	105	4	43	265	19	34
ASV_76	0	0	0	0	73	0	69	31	0	245	0	97	0	22	0	0	0	0	0	15	0	797
ASV_77	0	122	0	0	0	0	194	86	0	25	27	0	28	258	129	26	56	12	45	0	26	196
ASV_78	198	20	48	0	2839	0	0	1676	0	204	0	1933	0	0	0	0	0	0	272	165	0	0
ASV_79	228	150	14	58	0	109	146	21	107	49	11	61	0	122	177	0	45	28	87	12	27	93
ASV_80	205	0	0	0	53	10	595	59	18	84	0	0	0	145	0	13	101	19	0	127	0	149
ASV_81	0	0	0	131	0	0	0	0	135	0	30	0	9098	0	0	26	0	0	0	0	29	0
ASV_82	0	0	157	5	153	85	0	6	592	312	30	37	12	777	0	84	0	11	74	58	261	0
ASV_83	0	135	0	1103	0	472	0	0	728	0	62	22	2602	213	235	318	461	79	145	0	602	49
ASV_84	27	0	144	0	32	0	0	29	0	47	0	60	0	19	0	0	0	0	31	0	0	0
ASV_85	0	0	0	619	0	851	0	0	2992	0	128	0	2856	0	0	448	0	50	0	0	554	0
ASV_86	0	0	0	849	74	2	0	19	101	13	0	6	321	2981	0	492	1364	10	0	0	21	45
ASV_87	123	63	17	0	14	7	172	99	35	40	0	34	7	196	82	0	21	13	85	0	0	110
