Sample,SV (mm),Site name,Date,pH_mean,pH_sd,pH_n,pH.FP_mean,pH.FP_sd,pH.FP_n,Site
RP01,41,Brazo del potero grande,04/01/2022,7.87,0.29,12,8.1,0.19,4,BdPG-B
RP02,35,Brazo del potero grande,04/01/2022,7.87,0.29,12,8.1,0.19,4,BdPG-B
RP03,26.2,Brazo del potero grande,04/01/2022,7.87,0.29,12,8.1,0.19,4,BdPG-B
RP04,20,Brazo del potero grande,04/01/2022,7.87,0.29,12,8.1,0.19,4,BdPG-B
RP05,28.3,Brazo del potero grande,04/01/2022,7.87,0.29,12,8.1,0.19,4,BdPG-A
RP06,39,Brazo del potero grande,04/01/2022,7.87,0.29,12,8.1,0.19,4,BdPG-A
RP07,19.5,Brazo del potero grande,04/01/2022,7.87,0.29,12,8.1,0.19,4,BdPG-A
RP08,57,Brazo del potero grande,04/01/2022,7.87,0.29,12,8.1,0.19,4,BdPG-A
RP09,32,Brazo del potero grande,04/01/2022,7.87,0.29,12,8.1,0.19,4,BdPG-A
RP10,32,Pedregal,05/01/2022,8.25,0.15,10,8.34,0.04,7,P-A
RP11,29,Pedregal,05/01/2022,8.25,0.15,10,8.34,0.04,7,P-A
RP12,48,Pedregal,05/01/2022,8.25,0.15,10,8.34,0.04,7,P-A
RP13,31.5,Pedregal,05/01/2022,8.25,0.15,10,8.34,0.04,7,P-A
RP14,40.5,Pedregal,05/01/2022,8.25,0.15,10,8.34,0.04,7,P-A
RP15,21,Pedregal,05/01/2022,8.25,0.15,10,8.34,0.04,7,P-A
RP16,58,Pedregal,05/01/2022,8.25,0.15,10,8.34,0.04,7,P-B
RP17,28.5,Pedregal,05/01/2022,8.25,0.15,10,8.34,0.04,7,P-B
RP18,38,Pedregal,05/01/2022,8.25,0.15,10,8.34,0.04,7,P-B
RP19,30,Pedregal,05/01/2022,8.25,0.15,10,8.34,0.04,7,P-B
RP20,34,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-A
RP30,30,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-A
RP29,59,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-A
RP28,25,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-B
RP27,31,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-B
RP26,28,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-B
RP25,37,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-B
RP24,29,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-B
RP23,35,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-B
RP22,32,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-B
RP21,39,Murcielago,07/01/2022,8.2,0.13,12,8.16,0.09,10,M-B
RP31,23,Brazo del potero grande,07/04/2022,7.97,0.06,4,7.98,0.05,3,BdPG-B
RP32,60,Brazo del potero grande,07/04/2022,7.97,0.06,4,7.98,0.05,3,BdPG-B
RP33,47,Brazo del potero grande,07/04/2022,7.97,0.06,4,7.98,0.05,3,BdPG-A
RP34,,Brazo del potero grande,07/04/2022,7.97,0.06,4,7.98,0.05,3,BdPG-A
RP35,59,Pedregal,08/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP36,32,Pedregal,08/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP37,33,Pedregal,08/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP38,28,Pedregal,08/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP39,20,Pedregal,10/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP40,20,Pedregal,10/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP41,39,Pedregal,10/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP43,21,Pedregal,10/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP44,29,Pedregal,10/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP45,33,Pedregal,11/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP46,55,Pedregal,11/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP47,42,Pedregal,11/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP48,40,Pedregal,11/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
RP42,43,Pedregal,10/04/2022,7.99,0.18,10,8.03,0.17,8,P-B
10MR,,,,,,,,,,
9FR_2,,,,,,,,,,
8FR,,,,,,,,,,
7FR,,,,,,,,,,
6MR,,,,,,,,,,
5MS,,,,,,,,,,
4MR,,,,,,,,,,
3FR,,,,,,,,,,
2FR,,,,,,,,,,
1FR,,,,,,,,,,
11FR,,,,,,,,,,
12FW,,,,,,,,,,
13MS,,,,,,,,,,
14FR,,,,,,,,,,
9FR,,,,,,,,,,
4MR_2,,,,,,,,,,
13MS_2,,,,,,,,,,
7_2,,,,,,,,,,
3_2,,,,,,,,,,
14_2,,,,,,,,,,
10_2,,,,,,,,,,
6_2,,,,,,,,,,
2_2,,,,,,,,,,
MOCK1,,,,,,,,,,
MOCK2,,,,,,,,,,
NEGATIVE1,,,,,,,,,,
NEGATIVE2,,,,,,,,,,
NTC,,,,,,,,,,
Mock,,,,,,,,,,
